LineId,logs,ip_address,date,time,log_type,auth_failures_last_1h,time_since_last_failure,is_root_attempt,unique_users_attempted,anomaly_detected
13,Jun 15 02:04:59 combo sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,220-135-151-1.hinet-ip.hinet.net,Jun-15,02:04:59,Auth Failure,10,0,1,1,Yes
14,Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0),,Jun-15,04:06:18,Normal,0,,0,0,No
15,Jun 15 04:06:19 combo su(pam_unix)[21416]: session closed for user cyrus,,Jun-15,04:06:19,Normal,0,,0,0,No
16,Jun 15 04:06:20 combo logrotate: ALERT exited abnormally with [1],,Jun-15,04:06:20,Service Issue,0,,0,0,Yes
17,Jun 15 04:12:42 combo su(pam_unix)[22644]: session opened for user news by (uid=0),,Jun-15,04:12:42,Normal,0,,0,0,No
18,Jun 15 04:12:43 combo su(pam_unix)[22644]: session closed for user news,,Jun-15,04:12:43,Normal,0,,0,0,No
19,Jun 15 12:12:34 combo sshd(pam_unix)[23397]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
20,Jun 15 12:12:34 combo sshd(pam_unix)[23397]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,1,75392,0,0,No
21,Jun 15 12:12:34 combo sshd(pam_unix)[23395]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
22,Jun 15 12:12:34 combo sshd(pam_unix)[23395]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,2,0,0,0,No
23,Jun 15 12:12:34 combo sshd(pam_unix)[23404]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
24,Jun 15 12:12:34 combo sshd(pam_unix)[23404]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,3,0,0,0,No
25,Jun 15 12:12:34 combo sshd(pam_unix)[23399]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
26,Jun 15 12:12:34 combo sshd(pam_unix)[23399]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,4,0,0,0,Yes
27,Jun 15 12:12:34 combo sshd(pam_unix)[23406]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
28,Jun 15 12:12:34 combo sshd(pam_unix)[23406]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,5,0,0,0,Yes
29,Jun 15 12:12:34 combo sshd(pam_unix)[23396]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
30,Jun 15 12:12:34 combo sshd(pam_unix)[23394]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
31,Jun 15 12:12:34 combo sshd(pam_unix)[23407]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
32,Jun 15 12:12:34 combo sshd(pam_unix)[23394]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,6,0,0,0,Yes
33,Jun 15 12:12:34 combo sshd(pam_unix)[23403]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
34,Jun 15 12:12:34 combo sshd(pam_unix)[23396]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,7,0,0,0,Yes
35,Jun 15 12:12:34 combo sshd(pam_unix)[23407]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,8,0,0,0,Yes
36,Jun 15 12:12:34 combo sshd(pam_unix)[23403]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,9,0,0,0,Yes
37,Jun 15 12:12:34 combo sshd(pam_unix)[23412]: check pass; user unknown,,Jun-15,12:12:34,Normal,0,,0,0,No
38,Jun 15 12:12:34 combo sshd(pam_unix)[23412]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:12:34,Auth Failure,10,0,0,0,Yes
39,Jun 15 12:13:19 combo sshd(pam_unix)[23414]: check pass; user unknown,,Jun-15,12:13:19,Normal,0,,0,0,No
40,Jun 15 12:13:19 combo sshd(pam_unix)[23414]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:13:19,Auth Failure,11,45,0,0,No
41,Jun 15 12:13:20 combo sshd(pam_unix)[23416]: check pass; user unknown,,Jun-15,12:13:20,Normal,0,,0,0,No
42,Jun 15 12:13:20 combo sshd(pam_unix)[23416]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Jun-15,12:13:20,Auth Failure,12,1,0,0,No
43,Jun 15 14:53:32 combo sshd(pam_unix)[23661]: check pass; user unknown,,Jun-15,14:53:32,Normal,0,,0,0,No
44,Jun 15 14:53:32 combo sshd(pam_unix)[23661]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:32,Auth Failure,1,,0,0,No
45,Jun 15 14:53:32 combo sshd(pam_unix)[23663]: check pass; user unknown,,Jun-15,14:53:32,Normal,0,,0,0,No
46,Jun 15 14:53:32 combo sshd(pam_unix)[23663]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:32,Auth Failure,2,0,0,0,No
47,Jun 15 14:53:32 combo sshd(pam_unix)[23664]: check pass; user unknown,,Jun-15,14:53:32,Normal,0,,0,0,No
48,Jun 15 14:53:32 combo sshd(pam_unix)[23664]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:32,Auth Failure,3,0,0,0,No
49,Jun 15 14:53:33 combo sshd(pam_unix)[23665]: check pass; user unknown,,Jun-15,14:53:33,Normal,0,,0,0,No
50,Jun 15 14:53:33 combo sshd(pam_unix)[23665]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:33,Auth Failure,4,1,0,0,Yes
51,Jun 15 14:53:34 combo sshd(pam_unix)[23669]: check pass; user unknown,,Jun-15,14:53:34,Normal,0,,0,0,No
52,Jun 15 14:53:34 combo sshd(pam_unix)[23669]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:34,Auth Failure,5,1,0,0,Yes
53,Jun 15 14:53:35 combo sshd(pam_unix)[23671]: check pass; user unknown,,Jun-15,14:53:35,Normal,0,,0,0,No
54,Jun 15 14:53:35 combo sshd(pam_unix)[23671]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:35,Auth Failure,6,1,0,0,Yes
55,Jun 15 14:53:35 combo sshd(pam_unix)[23673]: check pass; user unknown,,Jun-15,14:53:35,Normal,0,,0,0,No
56,Jun 15 14:53:35 combo sshd(pam_unix)[23673]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:35,Auth Failure,7,0,0,0,Yes
57,Jun 15 14:53:35 combo sshd(pam_unix)[23674]: check pass; user unknown,,Jun-15,14:53:35,Normal,0,,0,0,No
58,Jun 15 14:53:35 combo sshd(pam_unix)[23674]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:35,Auth Failure,8,0,0,0,Yes
59,Jun 15 14:53:36 combo sshd(pam_unix)[23678]: check pass; user unknown,,Jun-15,14:53:36,Normal,0,,0,0,No
60,Jun 15 14:53:36 combo sshd(pam_unix)[23678]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:36,Auth Failure,9,1,0,0,Yes
61,Jun 15 14:53:36 combo sshd(pam_unix)[23677]: check pass; user unknown,,Jun-15,14:53:36,Normal,0,,0,0,No
62,Jun 15 14:53:36 combo sshd(pam_unix)[23677]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Jun-15,14:53:36,Auth Failure,10,0,0,0,Yes
63,Jun 15 20:05:31 combo sshd(pam_unix)[24138]: check pass; user unknown,,Jun-15,20:05:31,Normal,0,,0,0,No
64,Jun 15 20:05:31 combo sshd(pam_unix)[24138]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,d211-116-254-214.rev.krline.net,Jun-15,20:05:31,Auth Failure,1,,0,0,No
65,Jun 15 20:05:31 combo sshd(pam_unix)[24137]: check pass; user unknown,,Jun-15,20:05:31,Normal,0,,0,0,No
66,Jun 15 20:05:31 combo sshd(pam_unix)[24137]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,d211-116-254-214.rev.krline.net,Jun-15,20:05:31,Auth Failure,2,0,0,0,No
67,Jun 15 20:05:31 combo sshd(pam_unix)[24141]: check pass; user unknown,,Jun-15,20:05:31,Normal,0,,0,0,No
68,Jun 15 20:05:31 combo sshd(pam_unix)[24141]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,d211-116-254-214.rev.krline.net,Jun-15,20:05:31,Auth Failure,3,0,0,0,No
69,Jun 15 20:05:31 combo sshd(pam_unix)[24140]: check pass; user unknown,,Jun-15,20:05:31,Normal,0,,0,0,No
70,Jun 15 20:05:31 combo sshd(pam_unix)[24140]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,d211-116-254-214.rev.krline.net,Jun-15,20:05:31,Auth Failure,4,0,0,0,Yes
71,Jun 15 20:05:31 combo sshd(pam_unix)[24139]: check pass; user unknown,,Jun-15,20:05:31,Normal,0,,0,0,No
72,Jun 15 20:05:31 combo sshd(pam_unix)[24139]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,d211-116-254-214.rev.krline.net,Jun-15,20:05:31,Auth Failure,5,0,0,0,Yes
73,Jun 16 04:10:22 combo su(pam_unix)[25178]: session opened for user cyrus by (uid=0),,Jun-16,04:10:22,Normal,0,,0,0,No
74,Jun 16 04:10:23 combo su(pam_unix)[25178]: session closed for user cyrus,,Jun-16,04:10:23,Normal,0,,0,0,No
75,Jun 16 04:10:24 combo logrotate: ALERT exited abnormally with [1],,Jun-16,04:10:24,Service Issue,0,,0,0,Yes
76,Jun 16 04:16:17 combo su(pam_unix)[25548]: session opened for user news by (uid=0),,Jun-16,04:16:17,Normal,0,,0,0,No
77,Jun 16 04:16:18 combo su(pam_unix)[25548]: session closed for user news,,Jun-16,04:16:18,Normal,0,,0,0,No
78,Jun 17 04:03:33 combo su(pam_unix)[27953]: session opened for user cyrus by (uid=0),,Jun-17,04:03:33,Normal,0,,0,0,No
79,Jun 17 04:03:34 combo su(pam_unix)[27953]: session closed for user cyrus,,Jun-17,04:03:34,Normal,0,,0,0,No
80,Jun 17 04:03:36 combo logrotate: ALERT exited abnormally with [1],,Jun-17,04:03:36,Service Issue,0,,0,0,Yes
81,Jun 17 04:09:43 combo su(pam_unix)[29190]: session opened for user news by (uid=0),,Jun-17,04:09:43,Normal,0,,0,0,No
82,Jun 17 04:09:45 combo su(pam_unix)[29190]: session closed for user news,,Jun-17,04:09:45,Normal,0,,0,0,No
83,Jun 17 07:07:00 combo ftpd[29504]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,,Jun-17,07:07:00,Normal,0,,0,0,No
84,Jun 17 07:07:00 combo ftpd[29508]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,,Jun-17,07:07:00,Normal,0,,0,0,No
85,Jun 17 07:07:00 combo ftpd[29507]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,,Jun-17,07:07:00,Normal,0,,0,0,No
86,Jun 17 07:07:00 combo ftpd[29505]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,,Jun-17,07:07:00,Normal,0,,0,0,No
87,Jun 17 07:07:00 combo ftpd[29506]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,,Jun-17,07:07:00,Normal,0,,0,0,No
88,Jun 17 07:07:00 combo ftpd[29509]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,,Jun-17,07:07:00,Normal,0,,0,0,No
89,Jun 17 07:07:02 combo ftpd[29510]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,,Jun-17,07:07:02,Normal,0,,0,0,No
90,Jun 17 07:07:04 combo ftpd[29511]: connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,,Jun-17,07:07:04,Normal,0,,0,0,No
91,Jun 17 19:43:13 combo sshd(pam_unix)[30565]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,211.46.224.253,Jun-17,19:43:13,Auth Failure,1,,0,1,No
92,Jun 17 20:29:26 combo sshd(pam_unix)[30631]: session opened for user test by (uid=509),,Jun-17,20:29:26,Normal,0,,0,0,No
93,Jun 17 20:34:57 combo sshd(pam_unix)[30631]: session closed for user test,,Jun-17,20:34:57,Normal,0,,0,0,No
94,Jun 17 20:55:06 combo ftpd[30755]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,,Jun-17,20:55:06,Normal,0,,0,0,No
95,Jun 17 20:55:06 combo ftpd[30754]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,,Jun-17,20:55:06,Normal,0,,0,0,No
96,Jun 17 20:55:06 combo ftpd[30753]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,,Jun-17,20:55:06,Normal,0,,0,0,No
97,Jun 17 20:55:06 combo ftpd[30756]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,,Jun-17,20:55:06,Normal,0,,0,0,No
98,Jun 17 20:55:06 combo ftpd[30757]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,,Jun-17,20:55:06,Normal,0,,0,0,No
99,Jun 17 20:55:07 combo ftpd[30758]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,,Jun-17,20:55:07,Normal,0,,0,0,No
100,Jun 17 20:55:07 combo ftpd[30759]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,,Jun-17,20:55:07,Normal,0,,0,0,No
101,Jun 18 01:30:59 combo sshd(pam_unix)[31201]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
102,Jun 18 01:30:59 combo sshd(pam_unix)[31201]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,1,,0,0,No
103,Jun 18 01:30:59 combo sshd(pam_unix)[31199]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
104,Jun 18 01:30:59 combo sshd(pam_unix)[31199]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,2,0,0,0,No
105,Jun 18 01:30:59 combo sshd(pam_unix)[31198]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
106,Jun 18 01:30:59 combo sshd(pam_unix)[31198]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,3,0,0,0,No
107,Jun 18 01:30:59 combo sshd(pam_unix)[31202]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
108,Jun 18 01:30:59 combo sshd(pam_unix)[31202]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,4,0,0,0,Yes
109,Jun 18 01:30:59 combo sshd(pam_unix)[31205]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
110,Jun 18 01:30:59 combo sshd(pam_unix)[31205]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,5,0,0,0,Yes
111,Jun 18 01:30:59 combo sshd(pam_unix)[31200]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
112,Jun 18 01:30:59 combo sshd(pam_unix)[31200]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,6,0,0,0,Yes
113,Jun 18 01:30:59 combo sshd(pam_unix)[31206]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
114,Jun 18 01:30:59 combo sshd(pam_unix)[31206]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,7,0,0,0,Yes
115,Jun 18 01:30:59 combo sshd(pam_unix)[31204]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
116,Jun 18 01:30:59 combo sshd(pam_unix)[31204]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,8,0,0,0,Yes
117,Jun 18 01:30:59 combo sshd(pam_unix)[31203]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
118,Jun 18 01:30:59 combo sshd(pam_unix)[31203]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,9,0,0,0,Yes
119,Jun 18 01:30:59 combo sshd(pam_unix)[31207]: check pass; user unknown,,Jun-18,01:30:59,Normal,0,,0,0,No
120,Jun 18 01:30:59 combo sshd(pam_unix)[31207]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Jun-18,01:30:59,Auth Failure,10,0,0,0,Yes
121,Jun 18 02:08:10 combo ftpd[31272]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,,Jun-18,02:08:10,Normal,0,,0,0,No
122,Jun 18 02:08:10 combo ftpd[31273]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,,Jun-18,02:08:10,Normal,0,,0,0,No
123,Jun 18 02:08:10 combo ftpd[31274]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,,Jun-18,02:08:10,Normal,0,,0,0,No
124,Jun 18 02:08:10 combo ftpd[31275]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,,Jun-18,02:08:10,Normal,0,,0,0,No
125,Jun 18 02:08:10 combo ftpd[31276]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,,Jun-18,02:08:10,Normal,0,,0,0,No
126,Jun 18 02:08:10 combo ftpd[31277]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,,Jun-18,02:08:10,Normal,0,,0,0,No
127,Jun 18 02:08:10 combo ftpd[31278]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,,Jun-18,02:08:10,Normal,0,,0,0,No
128,Jun 18 02:08:11 combo ftpd[31279]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,,Jun-18,02:08:11,Normal,0,,0,0,No
129,Jun 18 02:08:11 combo ftpd[31280]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,,Jun-18,02:08:11,Normal,0,,0,0,No
130,Jun 18 02:08:11 combo ftpd[31281]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,,Jun-18,02:08:11,Normal,0,,0,0,No
131,Jun 18 02:08:11 combo ftpd[31282]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,,Jun-18,02:08:11,Normal,0,,0,0,No
132,Jun 18 02:08:11 combo ftpd[31283]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,,Jun-18,02:08:11,Normal,0,,0,0,No
133,Jun 18 02:08:12 combo ftpd[31284]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,,Jun-18,02:08:12,Normal,0,,0,0,No
134,Jun 18 02:08:12 combo ftpd[31285]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,,Jun-18,02:08:12,Normal,0,,0,0,No
135,Jun 18 02:08:12 combo ftpd[31286]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,,Jun-18,02:08:12,Normal,0,,0,0,No
136,Jun 18 02:23:10 combo ftpd[31277]: User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,,Jun-18,02:23:10,Normal,0,,0,0,No
137,Jun 18 04:07:05 combo su(pam_unix)[31791]: session opened for user cyrus by (uid=0),,Jun-18,04:07:05,Normal,0,,0,0,No
138,Jun 18 04:07:06 combo su(pam_unix)[31791]: session closed for user cyrus,,Jun-18,04:07:06,Normal,0,,0,0,No
139,Jun 18 04:07:06 combo logrotate: ALERT exited abnormally with [1],,Jun-18,04:07:06,Service Issue,0,,0,0,Yes
140,Jun 18 04:12:42 combo su(pam_unix)[32164]: session opened for user news by (uid=0),,Jun-18,04:12:42,Normal,0,,0,0,No
